date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:09:16	1599/1599	---M-Z	200	added ('OK')	text/html	etag:W/%22c19-18d42876510%22	https://app.retherswap.org/robots.txt		(from )
18:09:16	3097/3097	---M-Z	200	added ('OK')	text/html	etag:W/%22c19-18d42876510%22	https://app.retherswap.org/	C:/My%20Web%20Sites/rether/app.retherswap.org/index.html	(from )
18:09:17	7600/7600	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Sep%202023%2003:23:56%20GMT	https://app.retherswap.org/favicon.png	C:/My%20Web%20Sites/rether/app.retherswap.org/favicon.png	(from https://app.retherswap.org/)
18:09:17	319/319	---M--	200	added ('OK')	application/json	date:Tue,%2014%20Nov%202023%2017:26:28%20GMT	https://app.retherswap.org/manifest.json	C:/My%20Web%20Sites/rether/app.retherswap.org/manifest.json	(from https://app.retherswap.org/)
18:09:17	5111/5111	---M-Z	200	added ('OK')	text/css	etag:W/%2213f7-18d42876510%22	https://app.retherswap.org/static/css/3.e2991308.chunk.css	C:/My%20Web%20Sites/rether/app.retherswap.org/static/css/3.e2991308.chunk.css	(from https://app.retherswap.org/)
18:09:18	409057/409057	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263de1-18d42876510%22	https://app.retherswap.org/static/js/main.a8af76b3.chunk.js	C:/My%20Web%20Sites/rether/app.retherswap.org/static/js/main.a8af76b3.chunk.js	(from https://app.retherswap.org/)
18:09:19	99632/99632	---M--	200	added ('OK')	font/woff2	etag:W/%2218530-18d42876510%22	https://app.retherswap.org/static/media/Inter-Thin.d52e5e38.woff2	C:/My%20Web%20Sites/rether/app.retherswap.org/static/media/Inter-Thin.d52e5e38.woff2	(from https://app.retherswap.org/static/css/3.e2991308.chunk.css)
18:09:19	2794491/2794491	---MCZ	200	added ('OK')	application/javascript	etag:W/%222aa3fb-18d42876510%22	https://app.retherswap.org/static/js/3.062b8b1c.chunk.js	C:/My%20Web%20Sites/rether/app.retherswap.org/static/js/3.062b8b1c.chunk.js	(from https://app.retherswap.org/)
18:09:19	135920/135920	---M--	200	added ('OK')	font/woff	etag:W/%22212f0-18d42876510%22	https://app.retherswap.org/static/media/Inter-Thin.b068b718.woff	C:/My%20Web%20Sites/rether/app.retherswap.org/static/media/Inter-Thin.b068b718.woff	(from https://app.retherswap.org/static/css/3.e2991308.chunk.css)
18:09:19	106496/106496	---M--	200	added ('OK')	font/woff2	etag:W/%221a000-18d42876510%22	https://app.retherswap.org/static/media/Inter-ThinItalic.a9780071.woff2	C:/My%20Web%20Sites/rether/app.retherswap.org/static/media/Inter-ThinItalic.a9780071.woff2	(from https://app.retherswap.org/static/css/3.e2991308.chunk.css)
